name,address,city,province,postalcode,latitude,longitude,days_since_last_visit,ensemble_pred_prob,times_noncomplient
Foundation for International Training,7181 WOODBINE AVENUE,MARKHAM,ON,L3R1A3,43.819131,-79.348759,311,0.432577101,4
COLEPRO PRODUCTIONS INC.,16  DEVON AVENUE,WESTMOUNT,QC,H3Y1A2,45.490515,-73.615388,224,0.100768345,3
HOPITAL VETERINAIRE DE COTE ST. LUC INC.,7930 BAILY ROAD,COTE ST. LUC,QC,H4W3J8,45.460747,-73.663142,262,0.213657525,2
BEN W. CROW & ASSOCIES DU CANADA (1977) LTEE,250  CONSUMERS ROAD,WILLOWDALE,ON,M2J4V6,43.772028,-79.330594,89,0.507619841,2
SERVICES DE DISQUES DELTA INC.,2379 GUENETTE ST.,ST. LAURENT,QC,H4R2E9,45.499892,-73.728608,232,0.310690445,3
PROTECTION INCENDIE DESCO LTEE,"RR 2, 4E LIGNE",NAVAN,ON,K4B1H9,45.428012,-75.470078,328,0.373741775,2
80922 CANADA LTD.,80 MUNRO BLVD.,TORONTO,ON,M2P1C4,43.746768,-79.394519,106,0.335185149,2
EMI TECHNOLOGY LTD.,FIRST CANADIAN PLACE,TORONTO,ON,M5X1B2,43.665614,-79.347717,325,0.742791886,3
LES PLACEMENTS REELS DU CANADA LTEE,10  BAY ST,TORONTO,ON,M5J2R8,43.641438,-79.37735,152,0.78832595,1
LES IMMEUBLES AWCO LTEE,5518  ALPINE AVENUE,COTE ST-LUC,QC,H4V2X1,45.473982,-73.647199,126,0.174964036,2
WESBELL TRANSPORT LTD./LTEE,1  WILKINSON ROAD,BRAMALEA,QC,L6T4M6,43.690549,-79.70195,53,0.142086856,5
BATTLE FORD TRACTOR LTD.,921  BROAD STREET,REGIAN,SK,S4P3H3,50.434585,-104.63593,333,0.830090779,4
Les Promotions Pellar Inc.,3686  RUE DU CAMPANILE,STE-FOY,QC,G1X4G6,46.761838,-71.333001,141,0.04194181,1
ARCHITECTES G.S.B. INC.,1255  UNIVERSITY STREET,MONTREAL,QC,H3B3B4,45.502929,-73.56918,212,0.335366864,5
"FLANSBERRY, MENARD & ASSOCIES INC.","79 KIMBERWICK CRESCENT, SUITE B-4",Ottawa,ON,K1V0W7,45.339725,-75.694127,113,0.286690583,4
LES CONSEILLERS EN TECHNIQUE TOURISTIQUE J.P. BOUTHILLIER LIMITEE,4286 GRAHAM,PIERREFONDS,QC,H9H2B6,45.480352,-73.849982,273,0.398770625,5
CADUREM INC.,600  RUE CASGRAIN,ST-LAMBERT,QC,J4R1G7,45.488937,-73.504329,279,0.307513865,3
CARILAINE INC.,210  RUE PARISEAU,DEAUVILLE,QC,J1N3N8,45.337973,-72.020142,91,0.367532416,5
AUTO COMPETITION LAVAL LTEE,175  RUE PEEL,MONTREAL,QC,H3C2G6,45.493518,-73.558578,235,0.174305888,3
80794 CANADA LTD.,2401  TORONTO DOMINION TOWER,EDMONTON,AB,T5J2Z1,53.543005,-113.496932,118,0.113633984,1
80911 CANADA LTEE,250  YONGE STREET,TORONTO,ON,M5B2M6,43.886644,-79.456938,159,0.7541243,3
80912 CANADA LTEE,250  YONGE STREET,TORONTO,ON,M5B2M6,43.886644,-79.456938,273,0.08273587,3
CAMIRAND HOLDINGS INC.,45 Avenue d'Adélaide,Candiac,QC,J5R3J6,45.391353,-73.500619,324,0.280664454,4
TRANSPORT DES SERRES INC.,RUE PRINCIPALE,ST-BONAVENTURE,QC,J0C1C0,45.958673,-72.67519,329,0.607267994,3
TRANSPORT CLIMAX LTEE,200  RUE ST-JACQUES,MONTREAL,QC,H2Y1M1,45.496197,-73.565369,132,0.441125437,2
PEDAGO-AREA ENTERPRISES INC.,1199  BOULEVARD SHEVCHENKO,LASALLE,QC,H8N1N7,45.441829,-73.626783,356,0.619376547,2
LES PLACEMENTS CARFIL INC.,160  TYCOS DRIVE,TORONTO,ON,M6B1W8,43.704124,-79.462845,154,0.033872626,2
GEORGE F. ENSLIN ENTERPRISES LTD.,22-24  PEEL STREET,LINDSAY,ON,K9V4S1,44.393819,-78.793919,54,0.547171861,5
GOMAR INDUSTRIES INC.,1745  RUE ALAIN,DUBERGER,QC,G1N3Z8,46.802506,-71.283694,364,0.218146787,4
INFOBEC INC.,455  BOUL. CARTIER OUEST,LAVAL,QC,H7N2L7,45.547536,-73.716349,36,0.156618266,3
CEINTURE KAMRON INC.,353  ST. NICHOLAS STREET,MONTREAL,QC,H2Y2P1,45.501916,-73.555123,311,0.964512984,1
LES ENTREPRISES LIMACSMI LTEE,401  8TH AVENUE SOUTH WEST,CALGARY,AB,T2P1E4,51.046069,-114.070215,23,0.747910657,2
M J R MANAGEMENT & MARKETING LIMITED,862  DUFFERIN AVENUE,WINNIPEG,MB,R2X0A3,49.916837,-97.160254,327,0.491955373,2
RAJAC CONSTRUCTION LIMITED,240  GRAHAM AVENUE,WINNIPEG,MB,R3C0J7,49.892106,-97.142505,237,0.847254459,3
BOUCHERIE CAILLE INC.,797  BOUL. ST-LUC,ST-LUC,QC,J0J2A0,45.118115,-72.989029,358,0.733191,2
BRUCE M. SMALL AND ASSOCIATES LIMITED,RR 1,GOODWOOD,ON,L0C1A0,44.038568,-79.191777,212,0.429995822,4
LES PLACEMENTS C.C.J. LTEE,1000  SHERBROOKE ST. WEST,MONTREAL,QC,H3A3G4,45.502516,-73.575903,247,0.292113559,3
DRAPERIES NORMANDIE INC.,10635 rue Racette,MONTREAL NORD,QC,H1G5H3,45.595153,-73.621305,151,0.548942474,1
80928 CANADA LTD.,1210 REDPATH CRESCENT,MONTREAL,QC,H3Z2G5,45.484838,-73.595315,115,0.979167057,2
PICARD & LACROIX INC.,"4660, rue Katy",Drummondville,QC,J2E1T2,45.907508,-72.527675,37,0.279003218,5
LEDESCO HOLDINGS INC.,1042 RUE CHARCOT,BOUCHERVILLE,QC,J4B8R4,45.593083,-73.430064,254,0.978759931,5
81266 CANADA LTD.,13255  VICTORIA AVENUE,POINTE-AUX-TREMBLES,QC,H1A3R3,45.657067,-73.494293,87,0.105054294,2
TRITEC GROWTH SYSTEMS INC.,402  21ST STREET EAST,SASKATOON,SK,S7K0C3,52.126577,-106.66115,88,0.739190139,2
LES ENTREPRISES DE STATIONNEMENT J.B. INC.,1111  BLEURY STREET,MONTREAL,QC,H2Z1N1,45.504651,-73.563342,357,0.789503224,3
SYSTRONIC EQUIPMENT LTD.,5916  PAPINEAU,MONTREAL,QC,H2G2W8,45.541177,-73.592794,214,0.199318204,1
OHANNESSIAN CONSULTANTS LTD./LTEE,4180  AVE DU COURTRAI,MONTREAL,QC,H3S1C3,45.500041,-73.643176,119,0.433528192,1
PINE CREEK RESOURCES LTD.,167  LOMBARD AVENUE,WINNIPEG,MB,R3B0V3,49.896367,-97.136902,107,0.210912473,5
P.J. TILLNER ENTERPRISES LTD.,2 ST.CLAIR AVENUE WEST,TORONTO,ON,M4V1L5,43.6874,-79.398938,127,0.007579153,3
LA FONDATION NORMAN BETHUNE,"STATION ""B""",MONTREAL,QC,H3B3L3,45.437302,-73.854864,131,0.725425607,1
PAUL-A. BONNEAU GROUP INC.,170  RUE ST-EDOUARD,ST-SIMON,QC,J0H1Y0,45.715854,-72.857099,177,0.132920154,1
E.M. PROMOTIONS CANADA LTD.,6925  23IEME AVENUE,MONTREAL,QC,H1T3N4,45.565207,-73.584935,350,0.080789158,2
132852 CANADA INC.,180  LEES AVENUE,VANIER,ON,K1L8E4,45.434463,-75.665774,299,0.243109951,2
FOURRURES TARAN (MTL.) INCORPOREE,1465 SHERBROOKE STREET WEST,MONTREAL,QC,H3H1V2,45.496297,-73.585548,185,0.84310332,5
"LES FOURRURES RICHER, BROOKS, BURNETT INC.",2300  YONGE STREET,TORONTO,ON,M4P1E4,43.707813,-79.398308,73,0.359452048,1
SWAN WOOSTER CONSULTANTS LTD.,1167  BOWNESS RD. N.W.,CALGARY,AB,T2N2J6,51.058695,-114.105736,103,0.291182132,5
VDO-MAG INC.,50  PLACE CREMAZIE,MONTREAL,QC,H2P2T9,45.540564,-73.642108,82,0.440736728,1
LES TAXIS P. COLPRON INC.,19  RUE STAYNOR,WESTMOUNT,QC,H3Z1W3,45.485958,-73.584986,325,0.189011828,4
AQUARIUS BATH FASHIONS INC.,85 INGRAM DRIVE,TORONTO,ON,M6M2L7,43.699696,-79.472229,338,0.231406967,2
HAROLD BREEN CONSULTING SERVICES LIMITED,307 GILMOUR STREET,OTTAWA,ON,K2P0P7,45.415564,-75.692218,284,0.434119453,2
